track_id,total_active_frames,total_idle_frames,active_ratio,total_movement_px,avg_rula_score,peak_rula_score,zone_A1_sec,zone_A2_sec,zone_B1_sec,zone_B2_sec,zone_C1_sec,zone_C2_sec,task_lift_and_place_count,task_move_rack_count,task_pick_and_place_count
1,730,378,0.6588,4707.58,5.48,7.0,0.0,0.0,5.0,27.3,0.0,4.63,1,0,3
2,4037,1677,0.7065,11718.64,6.21,7.0,0.0,0.0,0.0,0.0,1.0,189.47,0,0,2
3,411,256,0.6162,3051.65,4.25,7.0,0.0,0.0,8.9,13.33,0.0,0.0,1,0,2
4,915,298,0.7543,25362.13,5.15,7.0,5.8,9.1,22.43,3.1,0.0,0.0,0,1,3
5,6128,2509,0.7095,19282.22,5.95,7.0,0.0,287.9,0.0,0.0,0.0,0.0,2,0,4
6,1117,834,0.5725,3001.28,5.53,7.0,38.37,26.67,0.0,0.0,0.0,0.0,0,0,2
9,174,158,0.5241,1973.44,4.99,7.0,0.0,0.0,11.07,0.0,0.0,0.0,0,0,1
14,13,2,0.8667,53.18,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0
23,1482,384,0.7942,4983.65,4.95,7.0,0.0,1.8,19.57,40.83,0.0,0.0,2,1,3
34,6,1,0.8571,54.58,3.0,3.0,0.0,0.23,0.0,0.0,0.0,0.0,0,0,0
46,543,299,0.6449,5833.88,5.05,7.0,11.4,0.0,11.3,5.37,0.0,0.0,0,0,2
50,0,1,0.0,0.0,3.0,3.0,0.0,0.03,0.0,0.0,0.0,0.0,0,0,0
53,1,3,0.25,4.81,3.75,4.0,0.0,0.0,0.13,0.0,0.0,0.0,0,0,0
57,148,235,0.3864,1349.82,6.49,7.0,1.0,0.0,1.57,10.2,0.0,0.0,0,0,2
59,7,5,0.5833,10.31,6.17,7.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0
64,220,219,0.5011,1624.14,6.2,7.0,0.0,5.3,0.83,8.5,0.0,0.0,0,0,1
68,21,10,0.6774,29.96,3.35,4.0,0.0,0.0,1.03,0.0,0.0,0.0,0,0,0
73,13,1,0.9286,79.07,7.0,7.0,0.0,0.0,0.0,0.47,0.0,0.0,0,0,0
76,1314,643,0.6714,3857.32,5.1,7.0,0.0,0.0,0.0,31.07,0.0,34.17,2,1,4
84,21,1,0.9545,94.5,3.73,4.0,0.0,0.0,0.0,0.0,0.0,0.73,0,0,1
88,237,215,0.5243,9020.53,6.11,7.0,0.0,0.0,15.07,0.0,0.0,0.0,0,0,2
89,10,1,0.9091,37.72,3.45,4.0,0.0,0.0,0.0,0.0,0.0,0.37,0,0,0
95,290,415,0.4113,2659.41,6.36,7.0,1.07,0.0,7.87,14.57,0.0,0.0,0,0,1
105,53,17,0.7571,303.67,5.79,7.0,0.0,0.0,2.33,0.0,0.0,0.0,0,0,1
123,109,103,0.5142,256.29,4.29,7.0,0.0,0.0,7.07,0.0,0.0,0.0,0,0,1
124,0,1,0.0,0.0,7.0,7.0,0.0,0.0,0.03,0.0,0.0,0.0,0,0,0
134,1005,470,0.6814,3238.72,4.56,7.0,0.0,0.0,21.7,27.47,0.0,0.0,0,0,2
140,254,165,0.6062,4923.42,5.74,7.0,0.0,0.0,13.47,0.5,0.0,0.0,0,0,1
148,1167,1052,0.5259,30856.15,5.32,7.0,16.87,2.7,35.73,18.67,0.0,0.0,0,0,1
150,4,3,0.5714,8.38,6.0,6.0,0.0,0.0,0.23,0.0,0.0,0.0,0,0,0
153,892,269,0.7683,2644.98,4.24,7.0,0.0,0.0,0.0,0.0,0.0,38.7,0,0,1
164,88,9,0.9072,286.85,4.45,6.0,0.0,0.0,3.23,0.0,0.0,0.0,0,0,1
175,101,120,0.457,244.02,4.7,7.0,7.37,0.0,0.0,0.0,0.0,0.0,0,0,2
179,219,167,0.5674,1368.22,5.5,7.0,5.5,0.0,7.37,0.0,0.0,0.0,0,0,1
189,68,37,0.6476,1010.02,4.65,7.0,1.2,0.0,2.3,0.0,0.0,0.0,0,0,1
192,7,4,0.6364,36.98,6.0,7.0,0.0,0.0,0.37,0.0,0.0,0.0,0,0,0
194,1222,1809,0.4032,68925.51,5.42,7.0,0.0,0.0,0.0,0.27,0.0,100.77,1,0,2
199,214,194,0.5245,3379.9,4.8,7.0,3.47,0.0,10.13,0.0,0.0,0.0,0,0,2
201,1289,613,0.6777,8342.83,4.71,7.0,22.2,17.27,13.57,10.37,0.0,0.0,0,0,1
203,400,330,0.5479,1550.8,4.67,7.0,0.0,0.0,6.57,17.77,0.0,0.0,0,0,1
218,1131,1059,0.5164,2942.05,4.99,7.0,18.17,0.0,46.6,8.23,0.0,0.0,0,0,1
222,2,64,0.0303,3.91,6.0,6.0,0.0,0.0,0.0,2.2,0.0,0.0,0,0,1
223,983,881,0.5274,2892.84,4.78,7.0,0.0,11.03,0.0,51.1,0.0,0.0,0,0,1
230,235,112,0.6772,799.44,4.47,7.0,9.63,0.0,1.93,0.0,0.0,0.0,0,0,2
231,1273,624,0.6711,3835.77,5.94,7.0,0.0,0.0,0.0,1.1,0.0,62.13,0,2,1
237,92,109,0.4577,266.29,3.55,7.0,0.0,0.0,6.7,0.0,0.0,0.0,0,0,1
245,3,3,0.5,5.83,5.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0
252,94,90,0.5109,258.22,4.5,7.0,6.13,0.0,0.0,0.0,0.0,0.0,0,0,1
260,86,34,0.7167,280.91,3.95,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1,0,2
266,228,43,0.8413,738.3,5.42,7.0,0.0,0.0,0.0,9.03,0.0,0.0,0,0,1
267,116,40,0.7436,849.2,3.99,6.0,3.0,0.0,2.2,0.0,0.0,0.0,0,0,2
272,1,1,0.5,2.75,4.0,4.0,0.07,0.0,0.0,0.0,0.0,0.0,0,0,0
